gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,Avg_Monthly_Charge,Tenure_Group
Male,0,No,No,50,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),37.46,1903.6,0,38.071999999999996,4-5 Yrs
Female,0,No,Yes,46,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Two year,No,Bank transfer (automatic),108.06,4938.69,0,107.36282608695652,2-4 Yrs
Male,0,No,Yes,3,Yes,No,DSL,No,No,No,Yes,No,No,One year,No,Electronic check,90.22,301.97,0,100.65666666666668,0-1 Yr
Male,0,No,Yes,6,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),106.58,683.53,0,113.92166666666667,0-1 Yr
Male,0,Yes,No,34,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),57.11,1925.31,1,56.62676470588235,2-4 Yrs
Female,0,Yes,No,47,Yes,Yes,DSL,No,Yes,Yes,Yes,No,No,Two year,No,Mailed check,49.97,2351.58,0,50.03361702127659,2-4 Yrs
Male,1,No,No,71,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,One year,Yes,Mailed check,56.82,4050.05,1,57.042957746478876,5+ Yrs
Male,0,Yes,No,44,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,No,Credit card (automatic),19.89,833.11,1,18.93431818181818,2-4 Yrs
Male,1,No,No,71,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,91.92,6525.73,0,91.91169014084507,5+ Yrs
Female,0,Yes,No,18,Yes,No,DSL,No,Yes,Yes,No,Yes,No,One year,Yes,Bank transfer (automatic),53.68,952.3,0,52.90555555555555,1-2 Yrs
Male,0,No,No,62,Yes,No,No,No,No,Yes,No,No,No,Two year,Yes,Mailed check,49.96,3134.77,1,50.560806451612905,5+ Yrs
Male,0,No,Yes,37,Yes,No,No,No,No,No,No,No,Yes,Two year,No,Electronic check,79.01,2961.04,0,80.02810810810811,2-4 Yrs
Male,1,Yes,No,66,Yes,No,No,No,No,Yes,No,Yes,No,Two year,No,Bank transfer (automatic),62.5,4145.08,0,62.804242424242425,5+ Yrs
Male,1,Yes,Yes,58,Yes,Yes,DSL,Yes,No,No,Yes,No,No,Two year,No,Credit card (automatic),118.05,6862.47,0,118.31844827586207,4-5 Yrs
Female,0,No,Yes,68,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,54.34,3718.49,0,54.68367647058823,5+ Yrs
